fips_state_code,state_name,fips_county_code,county_name
,,000,Brevig Mission city
,,000,Buckland city
,,000,Chefornak city
,,000,Chevak city
,,000,Chignik city
,,000,Chuathbaluk city
,,000,Clark's Point city
,,000,Coffman Cove city
,,000,Cold Bay city
,,000,Cordova city
,,000,Craig city
,,000,Deering city
,,000,Delta Junction city
,,000,Dillingham city
,,000,Diomede city
,,000,Eagle city
,,000,Edna Bay city
,,000,Eek city
,,000,Egegik city
,,000,Ekwok city
,,000,Elim city
,,000,Emmonak city
,,000,Fairbanks city
,,000,False Pass city
,,000,Fort Yukon city
,,000,Galena city
,,000,Gambell city
,,000,Golovin city
,,000,Goodnews Bay city
,,000,Grayling city
,,000,Gustavus city
,,000,Holy Cross city
,,000,Homer city
,,000,Hoonah city
,,000,Hooper Bay city
,,000,Houston city
,,000,Hughes city
,,000,Huslia city
,,000,Hydaburg city
,,000,Juneau city and borough
,,000,Kachemak city
,,000,Kake city
,,000,Kaktovik city
,,000,Kaltag city
,,000,Kasaan city
,,000,Kenai city
,,000,Ketchikan city
,,000,Kiana city
,,000,King Cove city
,,000,Kivalina city
,,000,Klawock city
,,000,Kobuk city
,,000,Kodiak city
,,000,Kotlik city
,,000,Kotzebue city
,,000,Koyuk city
,,000,Koyukuk city
,,000,Kupreanof city
,,000,Kwethluk city
,,000,Larsen Bay city
,,000,Lower Kalskag city
,,000,McGrath city
,,000,Manokotak city
,,000,Marshall city
,,000,Mekoryuk city
,,000,Mountain Village city
,,000,Napakiak city
,,000,Napaskiak city
,,000,Nenana city
,,000,Newhalen city
,,000,New Stuyahok city
,,000,Nightmute city
,,000,Nikolai city
,,000,Nome city
,,000,Nondalton city
,,000,Noorvik city
,,000,North Pole city
,,000,Nuiqsut city
,,000,Nulato city
,,000,Nunam Iqua city
,,000,Nunapitchuk city
,,000,Old Harbor city
,,000,Ouzinkie city
,,000,Palmer city
,,000,Pelican city
,,000,Pilot Point city
,,000,Pilot Station city
,,000,Platinum city
,,000,Point Hope city
,,000,Port Alexander city
,,000,Port Heiden city
,,000,Port Lions city
,,000,Quinhagak city
,,000,Ruby city
,,000,Russian Mission city
,,000,St. George city
,,000,St. Mary's city
,,000,St. Michael city
,,000,St. Paul city
,,000,Sand Point city
,,000,Savoonga city
,,000,Saxman city
,,000,Scammon Bay city
,,000,Selawik city
,,000,Seldovia city
,,000,Seward city
,,000,Shageluk city
,,000,Shaktoolik city
,,000,Shishmaref city
,,000,Shungnak city
,,000,Sitka city and borough
,,000,Soldotna city
,,000,Stebbins city
,,000,Tanana city
,,000,Teller city
,,000,Tenakee Springs city
,,000,Thorne Bay city
,,000,Togiak city
,,000,Toksook Bay city
,,000,Unalakleet city
,,000,Unalaska city
,,000,Upper Kalskag city
,,000,Valdez city
,,000,Wainwright city
,,000,Wales city
,,000,Wasilla city
,,000,White Mountain city
,,000,Whittier city
,,000,Wrangell city and borough
,,000,Arizona
,,001,Apache County
,,003,Cochise County
,,005,Coconino County
,,007,Gila County
,,009,Graham County
,,011,Greenlee County
,,012,La Paz County
,,013,Maricopa County
,,015,Mohave County
,,017,Navajo County
,,019,Pima County
,,021,Pinal County
,,023,Santa Cruz County
,,025,Yavapai County
,,027,Yuma County
,,000,Apache Junction city
,,000,Avondale city
,,000,Benson city
,,000,Bisbee city
,,000,Buckeye city
,,000,Bullhead City city
,,000,Camp Verde town
,,000,Carefree town
,,000,Casa Grande city
,,000,Cave Creek town
,,000,Chandler city
,,000,Chino Valley town
,,000,Clarkdale town
,,000,Clifton town
,,000,Colorado City town
,,000,Coolidge city
,,000,Cottonwood city
,,000,Dewey-Humboldt town
,,000,Douglas city
,,000,Duncan town
,,000,Eagar town
,,000,El Mirage city
,,000,Eloy city
,,000,Flagstaff city
,,000,Florence town
,,000,Fountain Hills town
,,000,Fredonia town
,,000,Gila Bend town
,,000,Gilbert town
,,000,Glendale city
,,000,Globe city
,,000,Goodyear city
,,000,Guadalupe town
,,000,Hayden town
,,000,Holbrook city
,,000,Huachuca City town
,,000,Jerome town
,,000,Kearny town
,,000,Kingman city
,,000,Lake Havasu City city
,,000,Litchfield Park city
,,000,Mammoth town
,,000,Marana town
,,000,Maricopa city
,,000,Mesa city
,,000,Miami town
,,000,Nogales city
,,000,Oro Valley town
,,000,Page city
,,000,Paradise Valley town
,,000,Parker town
,,000,Patagonia town
,,000,Payson town
,,000,Peoria city
,,000,Phoenix city
,,000,Pima town
,,000,Pinetop-Lakeside town
,,000,Prescott city
,,000,Prescott Valley town
,,000,Quartzsite town
,,000,Queen Creek town
,,000,Safford city
,,000,Sahuarita town
,,000,St. Johns city
,,000,San Luis city
,,000,Scottsdale city
,,000,Sedona city
,,000,Show Low city
,,000,Sierra Vista city
,,000,Snowflake town
,,000,Somerton city
,,000,South Tucson city
,,000,Springerville town
,,000,Star Valley town
,,000,Superior town
,,000,Surprise city
,,000,Taylor town
,,000,Tempe city
,,000,Thatcher town
,,000,Tolleson city
,,000,Tombstone city
,,000,Tucson city
,,000,Tusayan town
,,000,Wellton town
